Name,Type,Tags,Event,Date,Place,"lat,long",Description,Source,Image,Role,Contacted,Column
Auckland Regional Council (ARC),Auckland Government,,Design Competition,December 2009,Auckland,,Regional Council for Auckland,ARC Queens Wharf Timeline,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAU0AAACXCAMAAACm/PkLAAABJlBMVEX///8IJjnkJSZ/nj0AfbwAIzcAe7sAITUAGC8AByYAIDW+xckAGzHxp6cAeboAFS0AACQAACHiAADg4uQAAB7nQkN1hZDoSEj40tJ8nDfkICGlqq87TFn19vfW296Tm6EAABtodX8AdLjGztEtPk3t8PFTYGvZ3eCuyuILLT92foZGWmg0T17jGhsAECp4mS7+9vYdOUuRudmIj5XZ6/SwtbkAAADR28DraWr86upbbXmMqFQAABP2+fHjDQ+co6jwl5flNDX3yMhepM9Kmcr629upvYT1vb3wnJ3tf3+Zsmjk7vaTxODF3u2x1ekAhsDr8N/Q27q9zKHpWVnuhYXoU1R7utpPnczsZmZysNUAa7PtdXWDtNekx+C52On2sbGjuHe0xZQs2X0MAAAb0klEQVR4nO1cCVvaWhMOagSSKEIUF0gwhEDDkkpjroIKrrWuWJdWP+v2///ENzMnCQHRW9ta7+3N2+epcjaTl9nOnEk4LkSIECFChAgRIkSIECFChAgRIkSIECFChAgRIkSIECFChAgRIkSIfxcWFt76Cv4YLNyNra+PbYaE/go0zudatVpr+lNI5w+j4f2ysNcaQszN3Xl0LjSemBRiEGbWz6/P12fo983UEMPcFCNxbH1vb/3Tzlte378Kuxc1QOtiDH5fWK65bA6lNrHzfAP1fmh5840v8t+CzSlGYG0IpLPR8sgcaqHl3GvNsc7lUDq/B43zlq/b8CnVw2Zjbs7rvHvrC/1XYHPKI2wotcAtXPZo+rnf1zoPffx3YDeg2zMBLzSUAt2e9tkMVf270Mdm49L9nNrlQjZfjM0uYyn83LhMQUMtRXZyrKvpn972Mv/h2FyevqYQc8wTztoU65nZmKtduxH7kEvnXA3jJ+7ucjq0n4/RaKVqc7XUBZA2c1abY7sfr3Oz5av1Xc0lcx0/bNCksze54n8wvMindQa0zVxuzMHnlG8YZ6bG/JEQzUPfxjpI5JgrqJ4MvypkgvFDcw2aqwxa8ccWfG5ZwIVnD1vn+PHuevmMWU3CzHSXzc3UxuXyHpqEHX+b9BtiT3k1blnWZHnAtf8tlPSkZcVjmb4VLVgx2ZR//JpyeEnz4qP2hh9j1i5diVxYDshmgM1r0nHEmB+Jzm38+CV9J4pSBBDNPr72v4eSjkUivNnPJs9HIpL2M2ziNcUfX9Huhr/FmfLkbGZj2esOspny1dr3Vr+DzfkIIZH7gbm/m827jS4xvtaepTxvHWDzLuX/+jvZdOKMzR+6+9/N5o6v6XNnM17jrq/TATaHWv6k36np9Shjkzedl0/+3Wx2vVAtED5ueH6oy+Ym81KE3a6xXf/xS/ouyImIC+sHVP3V2Iw9weamF5UH2RxLuVrfZbOr/QE2WxevHcCnBZRLFAWhqL549m9nk9sdakEg3mq1pna7jS1vM+Sx2RjqRuqNcxiNk1LLM9wrow43zhdsvPqYp+oqwudCpo/eJ71tA3LujfayadBI1ehlU6QZdi7DPislHIPhmJPDZj1wMdTiQKCaSzzFJrd5d322d7d5Nz3dzapftxhPPpt7KZ+4xvrQ9e7mp+vL891XT384EbhxoVmaQK+edgPuIqLsDcnhp6w7vFwxpUQiFsmWyS70sKlqNFELyqaSK2dpRoyvF23dG1URObFcEBIJKVIpe99bjrUUmhllEJuNsfUx4qOxg3vxzbMpn85GigVJHpsL00N+1/rcXgMP3GgSt/lpfff11L2IolkXZfRFfN2VE0EShETRi+bLliAIq/ibohUSAk9GNhozMToPsqk2eZxXlwNs6mUzFuVdNydJGNPq2ZggTDi5QoLaeUGqMDphKGuR6jntkRdqfDrbGNo4u+5SMXO24Sv71Aa1e2x+anlEN85re92Ty5nl6Y2hqeXX2hEZBRRNEDzHQj/kqjrJa5dNvLN5+EWpSOx22f+JrBFks6ThNKlgBOxmqUnkJ5LJCXJ2EnxfejaK2mBGPe8XsWzUiTLjEleP1tH+9LDZOB/CFMdc7aLbBtt0j86dFLlwj81Lzwc1rmt7Af6n2Bobr0Rnmq6/CIKFqi5UStT6BJsaMZKwTNOy8G5j2QCbskYU1nGWz6ZNZM7nZFnNUVgbbzM2IyYvJCesZIzxB1a5Td8RH0+YfDzGvq8gm3feOU9rudu4cznk0dkill02dzfcnObCcitAJueeysE+KuDBfiEqAio43EypivdoMVUfzKYx4QqSoig5Eh5L5Dw2jbLgk+mzKdOmdZ5ZYxHplJoyYzMiVGVFkdPEcRIuIIuxhVAXFb81yOZO4Hw3cPk7ly2Xl7E55NFl8zrFlHvhrHUdGL3rr9Ea414BYoHMpn+zVpvYGMxmFe83brPGNI6JFlw2HcWWumT6bLYj4H2sKpuh4hcgVFw2o3U2khlIh8uYtJ7rkOx4H5tdIgL5N47y7YzOhdQl57G5c3HGBPKih8xu5D8UtKW/DiQ7QhN/1VHy+AhFQoPZXGWy5U21JCnGu2y2SY+lqjuFsdmUnTTCdW2lQpDNhDtURHsdSytFCnvT7uIqfQyyGTjf7dHShTMWuS9cT814bJ67ojnVSya38bpnRXQPPE+aWKIbmKBbH8gm01Tbm5uhGJLYjNRNtKjRijfDZbPU88coH9Bl020VBUoRGGRyCv7g/ghp0yczkGknLFyy9EYjde2yuXC9QWwO9ZHZ8DMmsJF6BdnMmb6iu1IC98U9wWZFwrHt3hXIC7ng657c9rAJhlBRHc0i5fXY9P4oJ5o0VM32sdnn0xt73cxFrXXXU6Z5mVrnMMQ8azA215ny12p7gUELjfNUrXvy9hpOnYyWlFYMhEO8JJGCgWwys6f3rhBkEzb6vZoOSymGU5mcnJywJOamPTajrjHlxDqZWJHYrPrrZrA56NN3/VOzi7Np2CPuBAi9pPBoBv5HNhf2aqDGC3MBMhcau1OpjYuLafcrqZ29whZTJz8akZIEq+tHB7JpUmOv9vpsMq5W3f2nz6aRjsUFitAlvm4+w6aTRS2p+Os+YnNhbKM2NzdXG0Jn8+lyOrUxtuPzuZyCOKixsbyAbEJ4BB9Amb3exs5eq3aBe/TGRQ0XmZt+jQDJ5iOPEK0az7AZrfQnRhibvFmnyXUWDHleSNEwLuUT9WJTK9uV6N/J5jNsQsS5fDZ9sbzOPuzsXW6k9mY8QpdT5wvc3dDdDrB5Dnv2xtScS+bCzt1Famr5kxsyXV9OT5/tvUbZnEKK3o/J0hNsYkDKF/wcqFFCMNnkzXSb5DzOzKrHZo4nu1zO4HmZjBHWE2w+spvt/ugdsbMbUNCFu+sLENAZRtM1SGdjbm9z+m7n7LrRmB5aZzM211tzl+cB9hqbm69TIutgyBIREj5I7xNg/BibbgpEbjI2GW++T7ergIrLJmx72iZte8iuuvGmWo5RDMsm9ERI/WwaRXJN/jHnMzmkLmY+XW+krndnUED3Wns761PXG+d7qc2diw10841NsJYX52O/p8CYsnBCJeejSTEfBEzk6gvuvZDSReY5eZJ8viexxVg0KrF4M4JZe0Y6bwZ2lg41Se4ElX+GTRZvml6+2nic9RiIhd1Pl6mNT5hqO29dr2MSsza3fob78M3dvdTQ3qdXz2i6KDX7r5iMV2RC5EhoeY0a2Y1F5jmO1NZTdRJsQeO6WQ8220LhddnMsHDWXb0n3nwkmw7Ls7ohAxP0v2cTsHP3aSN1ebfbAC5dj12729mFxrOxV8y99aNNPmgicIpukKBJRY6EVMi2VcUQyySakXmgI4m9FUzmyg4jvhRgk0vTwITYJ5tx5rjY9iZaKQ1mkyuQYlREtLDMCA9kc+1kaWnp5GQt2LZ5d52qna93N5/r8Hn9bqZ3Hk1c414Hip0gzQ22tWOMYJUi7ahZtMtZloSLzEN3hcgulHM5rU5ymO7Jb5aypOsFxfNCapn+RLPtiE6uSQkoofoUmw4FWULBhtVNITKQzZPT04/3Kysr+x8fTk8/B5hp7H6a69YfDqGsBsTy5PPpw8P9Psy7f+iZ9usg0gYvqfa2CcxtCG4iNyZFedMkVw8SqdfJ5UiJBFGcKBi9uXeHcpbgqGSBRVOUyohIQiFbFySBJhfUAWwKwCbH6OZjuHqU0kxW73HTyen+8GwXKx8flrqdC4Fqzlrw/Gft88N9YNr7lY+fX4HNNl48n+gpFlLKE2i9TE5d9XK5UiJTRu5oj6QXk36Iyk821b6TDKUtJHjMKBlIO1/XFc3Lr/O8VbFx8ajey6ZaSSDxMrqxpLd2IlvhoyiyPWQCKcNBzM7uB5hZCORF1n3BXDu9X5ntm7Zy+svFUy2uwv5nte/Q18iZ0PqXCmI4mcBjiUkwZNS4SiZBduqTFrRL1qTp0LGPBstMxl0hUkppaTI5mZX14gRMcWA9fkISolIiyedkw+Ynk3/pemE+mZz39umKWIzDCqgihjOBgwUr2VTldh1aJ3vIfP/+fS8vwOfKvSefjbkum/7jV6f93wBMgWVOfzWbijywCk3xWmU116xUcqrhN7IBspqB9mbGO9I0esvhDHeo4S6jyGK6Ui3mSuwDNrp/meuZ4uZF1XS1WmyXDHdscBsLnmft8/1sP6PAJ5O0hXVf1b3zypP9fml+D4q+tLb2as7oaWAuZFDZnAIdygvq6Z5a52WDT+739+9PT9aUk30Qrl75ZOK5k/LNJovXQcd7mRz+uLa2tvSwv7/yy4XzX4alYTR/4JbBJ689zAYJnR3+SEPcjHKtxkQzaC9RKJfWuJMHcOyo7A+/XzjfEo/kc2nFo2545SN6l6DKz67QmM1UCsuxKa2+FlBypJK82PAwY3j2LdlUm6YVj1tm8+WVNT+KHF/J6WqA07WPQUkbfsCWLqGzw2zU5oZbndQlEwafIpWzAfZ/vRv6Xii2lXSP0aXkD9V4vgT6X/Pz86ttLidJifhfwej9c49DYRwt7Q+7rLnS6dW9n3jNw8MfT7iTj72+y7O0vx+OaQWyoLxV+J6984+DzvpimQEVh2Ase/wz6O/+CWj8CtPe2X0c5LK5Rv5ndnhlfwmi9+H+wGr4jURTyU30ZZSFSPvvp/04iM3EIDaZ3esBKC8YwM/3KySJoPwem/uzyOU+iuX94yD1zchsTzKRlGAzI7DccrT+A0Wz3w09KQiCNZBN8Mj9oTgSen+ydvJx3w2UGJsfYQc5fP8wUCxxK/SK1/8cHFYpKxWaWrmsFSPsGKnvZPeXQoY/VNbEJ2qLT1cekYMWdOlkDfbi7/fXGJtLK+9X7j+vnZz2xKWeYN6/xjb9eyBXSBwTRYecq2JTEsk7rnhVPFGpvfTxsXiiwn8+OYFN5AOxuXYP+50T9DwDRq68WWykZCgxl+g+98MOOXuF8wUbHVxzwOhBKzxZ9376ceWx9oJCnwKfpyfI5ucH4PJ+wKDZ9/sPb+XMOa5EeWKhGCi4pgqGSMy7S9VxMrbddhwvMhQJHjkqfgC5pkYdaBOdtp1znMCZvCw6mRyu4LYZDo6Vn2YTQiWQwsdcvZ9FgUQ2T5aW9h/1Uyru9OTXEvQikH+NJIJOxygmLctaZU0lp2jFrUTCiicqORbYZ9FbFfxa4QTP80mDwx+Sxqm2ScMnKp6pUDLlCDVZ8WxbZ38Txg6MkAI4+QwSivmPnq3jewiHSNNPV3q7cBu68lpp4u8FO9foq0dQMwhqEpuWf4IsWEWSSLQE0QCbmLRXOExySkW16EWuQpJtAgxbkLwALBrPYlpPT2LS9W/YBKwtfQYZXWE0YmB5+vnzievTse9h3+uCjSj0Lb31xlymxLlbg/gYIp1bRKh0HbWfHixkp+I9bE4Cm5R0b8Ywa8y4m6DcaDmOH6MxlsoXUAuejt4HAE96XLg67D8DvNbte4P02wDIZCOtJ6JLOgCHvVGlnWsSn1JWfo7NCB+VrEKx4B7aY2mhbVH2P2u3mzwrhX0hm48RfKL6nwWZzCb/xB2x8jpLLymKLFIJNz7R8QybkVhRV2VVpJJRPobfFp2a2CVDkXUSdMH+c9mkSnjeHHxHBpHiFnZzOlVfSvJzbHqxQZsihVWOa9IJaJoZEp2KnAvsj/6JbLJi4/rgOyJOBL9CMOM+0fEcm+7zRzKdq89zHC7ffd6tMj+ZnJeUP5bNZ2WTKr0m/HynyGqMlGe8kF9H6xaJ0fNeMb+siUpIjT9XNp+1m/5TLwysCmfCeJrN7ssE3KltcnL9+dI/1m4O9ulMhlix4ny3lSrEks+wKWQ9QXbZbFLhd9/jrn8wm1TK0ldvIa7G4/HJokqUJP1m9lzks2xW+thkjw30x19/LJtsLxStBivdFdJPiOhJNrvFAwYVNU2+hM3if0s23X16PCg+JaqEgSZGib9NUsluWi6bHm/Pskn8+wWb9OSGovy5XoiTKf/W49UpEsKWcvfhIoRX00psekGVQbw9xSY7s/B9enpicnI+UXoxm7373kdsHrzojl8V9FxwROo+1SKuRtxNDxUcR71iIuagQWTZA6kuRRQ2PcmmkuyJN1ml9otlc/FqMfixn83b7R95ydPrQC5Srl0yHVVWFEPN0Lt+SFgVthdyb5eqF3lB5pqUvshSWRIrEH2STfZUorcXolLlaPGldvNgK/8tKH59bB51Rq7+OXSqBcoP8ZbQzLU1iT1RJNEbFtg+PSaqhlFyiHUL2ttU62lqqqrqNitanDSeYJNKbmGfrsqG6lBlcUx8IZsHW+Mj+Q8BOnvZPNoeH+l8+ccou+IwOlkFLP0WibF3qSjskQOrkE5XJexKYA2mQVm8iCTU64L7zoSk/ASbHD03zccKWroao8e5tT6f/lT+yru6IyBzZCT/7chvaowF6mBvO9A9OnL1D6Izm+g5UOelop/pYHIrxSjHZjHr6j2CBLGqUCC7Ca6qj82Yy6ab3+QliVUS4yM1PWw+X1myeLhNbI3kt98tPu4+ejcOfTBgfOv2H8OnrvFdPvlEPd19+Uzact8dgaKrsXa5EnfbEoVMpmBFeavNwf+85O+F7ARILb0BQLHNhL9CsowD9CTPY+7dqScEXuo+27Z4c8T14OhmC9gaJT5H81t9fCq377bz0DGC4jne+XZ80Nd9/EYEy066bll0eGMVbDFQ2W045Ug8blnxOK9lPN+st01qEzRRUUS7UjcrXL1eKNT9ExHV0ap1gfw+DMC1YTisQCurfL1eNx3OENPVuin4f+tdfvvDzZFLwcHRzYftcSLy2+3WKIjg+PjWzc2R63AObm8+dFAwRzs3t1t5kM/xka0PN4tu9+LxzbfO1wHS/HtgiI7TpqNJve+VmjL0IMTge6TEQJOhi6LIiTqi61xlavXXDq5giOzM0pvq4V1+dHx0++oD4QqoRC7z2zcKd/COMTc+8pV1f9uCblTy/DbI88EHsp6j452v39zuDszeejM2EcrLjs1/Od7lyQS6GKUPnQ+LYDwV7ujLeH400Mu68yPH0H0DvuqKtYyP5/3eN2bzrXHUyTOnwjA6nu+g6h59Hfl6AIQdAlPd3pHxfH4buOSOtzsQjh4cXY0Eu0FQ8/8cR/8WUA6ODjt5AEgYoHN4dKBwymFndGR8+xC6F4++BLq3bxaRrS20AdvHoO6Lt0AodtN/X48X/9NkIpSDg4Oj48NDcEYHB2h2brZHSKc7SBh2L97eHB4ee91fttE/jY52to687kPoXoTut72Rt8eRv6VxzbdyuN0BtlDDgbDOYd/4xa3tEQyO0NyOdL4e9y93+J+2m+/ync4XP+QEte6MoOTlt462WQjU2e4SdHTVQaEE63q1iJxi3LntR5jK8VZn5Ge8UCYZ5wVrMu275VIT07S5iYGVmFlVnPiuZUvz8UQkntSe6M6wWjqTwqoMK6IVq17tiFx/YtpAgE8fZV6owzwJ/hsfv4GuK3LorLvTGWHaT55q9BZMZrcbOKXZoz/p0w1Z1jC74DeUsLCqPTH4GYuiLK5+37olWSzIsqFb8/05dITLJntLUmaeToDbqz6b5ndfPkfxJoobsUQ/QMnHMT8EEnewjbsir3uk241becp9uN1+709HSGW8C796slTMcBked9bURI+mKZj/ZgPEedaELayHIk5/McV/lk0usM9slKG4f4L+Rzb9gZkkPudrlCfaClsK2VSURxfgt9C6/l+8ZTwwv0K/djDIUbb+9wUp3R5x2/0fI19g1kFnHH9AHOVJr7fIL2CzaVYjRY9NB1PkSiFi8mnOTAODRT1tFsx5hzNV0aqaEdgkOzEzllMcs8qrTd403ZeYKLZkSu6LT5FNXTJNU+Sazawp6KZpqYodN6WykmnKSrHJWUw2zaaNBFfaSto06xPIplwpG7ZVT6QVDan+y4ALLIoV3oS9vYZXNx+4gaOtTodpOegz89PcMexz8h0yiBBauv34k3LIym1+FLbw2I0+y50NP7d/OktXbnNptFSsHLPUrNbLcANtINdY5Qo5LCDU7aIM9s3Iqs5EhlPqbT2rwh07TgEMLmaA3Zdut6sgc1nHY1PJwOx2RtE0GGWBZheUisqp1YzT1JvQZjI2iyLY15xj52TMtydV2TSaZU4vqpxeVcto0lcNDf6CChbBqZTKyGa07yaObr5cXX1xEyDK4lae7Xq+HDAhPjr8cvXl8JiJ3cFBJ08aP3LIug9ug90/zWbFLslyhfIypWKhXMjgk7alUtviqozNMpb8VZHNeSC5omU0uSSXcxl8o5ksl0STyjUMHMaVKyScRgGfoy7pWs7QwHBkYaFMAQarmXrGKWZxpstmU86KelW0c4oB5tYSZUvDt6HCum3TZ7NCl6TawK/ew+bB0UHPzhai+SsKjsin/O+qL4aEbsohjbIc0k1ftA6x589JJ7BZrGiaVqbkDXqhTEEHCSo2c4l+NkuMzaZd0JpNzWkDJ0qz2CxX2+ybQJdj1z02FSdbLIMCe2y2C1w5q2kgm2YaJdiTTSVtZ8qK3TbKxWI6IcpxvBZZy2rpQpBNtVjUipV+Nt/9D7Y/i4sHaFkPFhdxY0Q5pK/ftsmr4PZncdHwur+Msu4ryoFC99bxEZtM3VejP5lDKme4IhKp6x4jBhiyIgpDkqtCD+hl2sEQxmcz7aAblg0H2NQxZqq7sok/tKbisinj7HYuwKZRMMBCZJxqSayqPpucmIW4zM6QqINsot2URTAuMnAHqynzhlYEuwEGwQHZxDccJ/zLxxxSfnz76vDm5vCqM55naaNt2IUffWM5pHx+hHVTjoh1f8Aw3k0x5Ue+fjmEvdJWB/efP+2FOEdwSrrA7CZGSKLp2E1RLyfFXFZ3iiCbGTzLNQpqBiIko2qrRUdWm45jljhDEnXHfT2mo4kl3S0rMuqckW7qoqaV0G9k08Qm6HQuZueKJQ7Ej/fYVLNZnbPBGmd0kbdlHtyZJjYdPZ3ItKvwg8kmeEPRrot2WRQrfwXYHOkmkdyceueKGdCbqxGWNgp2j+c77ITj4OYrRfA0Oe/1/iSbjqhwGc1Ou68mo/e1O+1Srqnlcjmj3EznnFIGpEu2FVvWNSzrcJRMOZ3OGWoahKnd1OyMzd6j29bSmvs6QwXkUi43yzlbx2r4NtoKm4NV7Vw705Y5Na2wr0DPcQp7PgO+jWY5A94cvou22NZwqAzL52wD/Zlh4yU5uq3BIP/yIWjM9+SQRre/HXuWVLn5sO3x5PG29cHfTS7eXHXGu92YQhr5Wa9O79DSvbQuiyvB9JVKFOjhGydYFGnAP8VwZ8givgmFPsmqwnkRZ0ksBZfF2Uo3QsRgsqS4LYpiBAa6q9JSdJahcO5bKOg62NiSjO1KyQjEm8rRzQfQ2TxhvLP1oe9k4/bmw9dOPtDdI3sHxzfftkfcbjAIN4MOkv5jWLx95+J2EBnPdytHx1730X8+hxQiRIgQIUKECBEiRIgQIUKECBEiRIgQIUKECBEiRIgQIUKECBEixGD8H5YZT9VUrXV3AAAAAElFTkSuQmCC",Agrees to continue supporting the Queens Wharf project and work with the Government to deliver it by Rugby World Cup 2011,,
Ports of Auckland,Auckland Government,,Design Competition,"""Recent years"" before the previously mentioned events occurred",Queens Wharf,"-36.845826, 174.785361",Used the wharf,QW Design Brief Stage 2,https://www.newshub.co.nz/dam/form-uploaded-images/ports_of_auckland_1120.jpg; http://www.poal.co.nz/_catalogs/masterpage/res/images/logo-header.png,The wharf used to be a working cargo wharf,,
Auckland Council,Auckland Government,,Waterfront development,,Auckland Waterfront,"-36.849850, 174.762442",counsil overseeing the waterfront development,Waterfront Feb. Report,,overseeing/consulting with the project,,
American-based Business Week/Architectural Record awards,Award,,redevelopment project,2009,Britomart precinct,,Britomart (first stage) project won recognition,"Urban designs as practice-led research, John Hunt",find image of award,recognition in the respect of heritage and urabn renewal aspects of the project,,
Waitemata Harbour,Body of Water,,design competition,2009,Queens Wharf,"-36.822908, 174.717707",ceremonial entry space,"Wharf designs misses the boat, NZ Herald ",,marae of the meeting house on the wharf,,
Waitemata Harbour,Body of Water,,design competition,2009,Queens Wharf,"-36.822908, 174.717707",body of water,"Wharf designs misses the boat, NZ Herald ",,to have access,,
Waitemata Harbour,Body of Water,,Design Competition,2009,Auckland,"-36.822908, 174.717707",Body of water,QW Design Brief Stage 2,find image of harbour,Competition must preserve access to it,,
Hauraki Gulf,Body of Water,,Design Competition,2009,Auckland,"-36.424589, 175.159580",Body of water,QW Design Brief Stage 2,find image of gulf,Competition must preserve access to it,,
Te Moana Nui a Kiwa,Body of Water,,Maori and South Pacific heritage,March 2011,Auckland’s waterfront,,traditional name for South Pacific Ocean,"KIWA, Tamaki Herenga Waka",https://goo.gl/images/FizBxK,Kiwa the ancestor ties all pacific peoples together or kiwa the unifying ancestor of pacific people,,
Britomart transport centre,Building,,Former design competition,2000,Auckland,"-36.844036, 174.767742",Location needing to be redesigned. Competition created for this,Tumeke! QW Round 1,https://at.govt.nz/media/1972315/britomart-station-commerce-st-entrance.jpg,"Lessons learned from it are relevant to the NZ design competition - the details of brief irrelevant, large firms were preferred, etc.",,
Britomart Bus Station,Building,,Former design competition,2000,Auckland,"-36.844036, 174.767742",Horrendous bus depot - the britomart transport centre design competition resulted in the construction of this and the destruction of open space,Tumeke! QW Round 1,http://www.showbus.com/photos/sauk1642.JPG (this blog has many more images as well),"According to the author of this blog, hopefully the QW design competition will get rid of it and change it back into an open area",,
Shed 10,Building,"Building, Queens Wharf Competition, Heritage Site, Design Briefs/Plans",design competition,2009,Queens Wharf,"-36.841818, 174.768033",exporting shed,"Wharf designs misses the boat, NZ Herald ",,turn it into a carved meeting house,,
Shed 11,Building,"Building, Queens Wharf Competition, Heritage Site, Design Briefs/Plans, Tourism",design competition,2009,Queens Wharf,"-36.841692, 174.767614",exporting shed,"Wharf designs misses the boat, NZ Herald ",,turn it into a carved meeting house,,
